fastId	X	Y
488	-7283.773	-1588.799
489	-7312.940	-1586.272
490	-7342.107	-1583.746
491	-8009.597	-1525.972
492	-8038.313	-1523.486
493	-8067.029	-1521.001
494	-8067.842	-1285.530
495	-8038.564	-1288.175
496	-8009.286	-1290.819
497	-7297.910	-1355.071
498	-7261.771	-1358.336
499	-7225.631	-1361.601
500	-7235.882	-1317.673
501	-7270.515	-1314.677
502	-7305.503	-1311.648
503	-8012.875	-1250.468
504	-8041.679	-1247.976
505	-8070.481	-1245.486
506	-8058.411	-1152.593
507	-8028.769	-1155.279
508	-7999.129	-1157.963
509	-7298.166	-1220.662
510	-7269.604	-1223.205
511	-7243.792	-1225.503
512	-7220.663	-1184.465
513	-7252.373	-1181.693
514	-7281.523	-1179.144
515	-8000.584	-1116.540
516	-8029.385	-1114.059
517	-8058.186	-1111.577
518	-8053.542	-1018.621
519	-8018.602	-1021.780
520	-7983.663	-1024.938
521	-7987.306	-983.348
522	-8023.051	-980.274
523	-8058.797	-977.202
524	-9789.402	-1942.979
525	-9761.561	-1945.440
526	-9733.721	-1947.901
527	-9268.425	-1989.030
528	-9239.712	-1991.568
529	-9210.998	-1994.106
530	-9182.487	-1998.017
531	-8711.410	-2038.269
532	-8682.906	-2040.788
533	-8654.595	-2044.640
534	-8620.946	-2008.168
535	-8653.967	-2005.250
536	-8681.962	-2002.774
537	-9194.449	-1958.973
538	-9220.643	-1956.659
539	-9246.837	-1954.343
540	-9734.248	-1909.749
541	-9762.499	-1907.251
542	-9790.751	-1904.754
543	-9775.930	-1800.954
544	-9747.459	-1803.470
545	-9718.990	-1805.986
546	-9690.520	-1808.502
547	-9243.830	-1847.979
548	-9214.073	-1850.608
549	-9184.314	-1853.238
550	-8686.138	-1897.267
551	-8658.953	-1899.670
552	-8631.766	-1902.073
553	-8632.060	-1863.916
554	-8660.683	-1861.386
555	-8689.307	-1858.857
556	-9160.408	-1818.222
557	-9189.256	-1815.672
558	-9218.103	-1813.123
559	-9246.951	-1810.573
560	-9683.754	-1772.469
561	-9710.229	-1770.129
562	-9736.702	-1767.790
563	-9763.176	-1765.450
564	-9767.760	-1654.511
565	-9739.499	-1657.008
566	-9711.239	-1659.505
567	-9244.265	-1700.764
568	-9216.072	-1703.255
569	-9187.882	-1705.747
570	-8687.296	-1750.512
571	-8659.323	-1753.022
572	-8646.217	-1612.665
573	-8674.197	-1610.231
574	-9174.877	-1566.533
575	-9203.070	-1564.042
576	-9231.263	-1561.553
577	-9698.254	-1520.298
578	-9726.512	-1517.802
579	-9754.772	-1515.305
580	-9751.296	-1411.225
581	-9725.534	-1413.500
582	-9699.773	-1415.775
583	-9674.013	-1418.049
584	-9213.097	-1458.754
585	-9183.795	-1461.341
586	-9154.494	-1463.928
587	-8656.365	-1507.923
588	-8627.064	-1510.510
589	-8597.761	-1513.099
590	-8568.460	-1515.686
591	-8568.205	-1477.541
592	-8597.461	-1474.958
593	-8626.717	-1472.374
594	-9125.342	-1429.843
595	-9154.565	-1427.262
596	-9183.789	-1424.682
597	-9213.012	-1422.100
598	-9653.236	-1381.719
599	-9683.530	-1380.047
600	-9712.741	-1377.469
601	-9741.951	-1374.889
602	-9716.649	-1139.002
603	-9689.527	-1141.398
604	-9662.404	-1143.794
605	-9182.248	-1186.209
606	-9146.766	-1189.343
607	-9111.284	-1192.478
608	-8624.153	-1235.515
609	-8594.869	-1238.103
610	-8565.586	-1240.690
611	-8580.909	-1201.184
612	-8608.900	-1198.711
613	-9114.002	-1154.092
614	-9149.714	-1150.938
615	-9184.145	-1147.896
616	-9669.927	-1104.989
617	-9697.502	-1102.554
618	-9725.077	-1100.120
619	-9103.367	-1058.788
620	-9136.722	-1055.846
621	-9170.075	-1052.904
622	-9169.789	-1014.815
623	-9135.929	-1017.801
624	-9102.066	-1020.787
625	-10894.368	-1845.044
626	-10859.546	-1848.170
627	-10824.726	-1851.296
628	-10346.208	-1893.762
629	-10318.367	-1896.223
630	-10290.526	-1898.683
631	-10262.687	-1901.143
632	-10238.343	-1865.187
633	-10267.412	-1862.617
634	-10296.483	-1860.046
635	-10325.553	-1857.477
636	-10822.854	-1813.721
637	-10857.221	-1810.741
638	-10891.590	-1807.760
639	-10914.700	-1700.004
640	-10886.234	-1702.561
